id,sz1,szbg,Organ-Size,pbg,Con-Com,SI-Index,BI-Index,Modality,classes,Dice,clDice,Boundary,Perimeter,Haussdorf,size
65_0_33.npy_,609,64927,0.92926025390625,99.0707397460938,18,0.823111138495175,0.214193548387097,2,1,0.3584905564785,0.684405028820038,0.606574773788452,0.568469524383545,0.713333308696747,0.688741743564606
65_0_34.npy_,432,65104,0.6591796875,99.3408203125,11,0.758725684204304,0.125506072874494,2,1,0.062780268490315,0.466331660747528,0.441860467195511,0.339694648981094,0.476858347654343,0.458438277244568
65_0_35.npy_,110,65426,0.1678466796875,99.8321533203125,0,,,2,1,5.84795337155164E-11,0.05405405536294,0.035928145051003,0.050847455859184,0.11055276542902,0.052631579339504
65_0_36.npy_,85,65451,0.12969970703125,99.8703002929688,0,,,2,1,7.40740732640966E-11,4.03225820788666E-11,8.06451641577333E-11,1.09890110899791E-10,6.80272088660061E-11,0.010152284055948
65_0_37.npy_,74,65462,0.1129150390625,99.8870849609375,0,,,2,1,1.01010103059629E-10,4.29184535133409E-11,6.94444432514096E-11,1.35135139189835E-10,8.47457590213985E-11,4.92610847946384E-11
65_0_38.npy_,64,65472,0.09765625,99.90234375,0,,,2,1,1.56249999050395E-10,0.012195121496916,0.060606062412262,0.060606062412262,1.35135139189835E-10,0.042553190141916
65_0_39.npy_,57,65479,0.08697509765625,99.9130249023438,7,-inf,0.017241379310345,2,1,1.75438594207655E-10,9.8039215634671E-11,1.75438594207655E-10,1.75438594207655E-10,1.75438594207655E-10,1.75438594207655E-10
65_0_4.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
65_0_40.npy_,46,65490,0.0701904296875,99.9298095703125,0,,,2,1,2.17391299406344E-10,2.17391299406344E-10,2.17391299406344E-10,2.17391299406344E-10,2.17391299406344E-10,2.17391299406344E-10
65_0_41.npy_,25,65511,0.03814697265625,99.9618530273438,0,,,2,1,4.00000005340573E-10,4.00000005340573E-10,4.00000005340573E-10,4.00000005340573E-10,4.00000005340573E-10,4.00000005340573E-10
65_0_42.npy_,1,65535,0.00152587890625,99.9984741210938,0,,,2,1,9.99999993922529E-09,9.99999993922529E-09,9.99999993922529E-09,9.99999993922529E-09,9.99999993922529E-09,9.99999993922529E-09
65_0_43.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_10.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_11.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_12.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_13.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_14.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_15.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_16.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_17.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_18.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_19.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_2.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_20.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_21.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_22.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_23.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_24.npy_,0,65536,0,100,0,,,2,0,1,1,2.49999998480632E-09,9.99999993922529E-09,1,1
112_0_25.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_26.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_27.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_28.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_29.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_3.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_30.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_31.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_32.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_33.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_34.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_35.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_36.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
112_0_37.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
102_0_41.npy_,30,65506,0.0457763671875,99.9542236328125,0,,,2,1,0.639999985694885,0.638297855854034,0.653061211109161,0.655172407627106,0.519999980926514,0.641509413719177
102_0_42.npy_,34,65502,0.0518798828125,99.9481201171875,5,-inf,0.028571428571429,2,1,0.627451002597809,0.627451002597809,0.653846144676209,0.690909087657928,0.645161271095276,0.703703701496124
102_0_43.npy_,46,65490,0.0701904296875,99.9298095703125,6,-inf,0.061224489795918,2,1,0.492753624916077,0.492753624916077,0.5,0.5,0.477611929178238,0.591549277305603
102_0_44.npy_,73,65463,0.11138916015625,99.8886108398438,5,-2.58337912050086,0.051948051948052,2,1,0.424242436885834,1.36986297305519E-10,0.148148149251938,0.266666680574417,0.294736832380295,0.495575219392777
102_0_45.npy_,43,65493,0.06561279296875,99.9343872070312,7,-4.40353936417444,0.022727272727273,2,1,0.658227860927582,0.555555582046509,0.637681186199188,0.625,0.419999986886978,0.714285731315613
102_0_46.npy_,85,65451,0.12969970703125,99.8703002929688,10,-0.854412330243975,0.065934065934066,2,1,0.716577529907227,0.707865178585053,0.764705896377564,0.724324345588684,0.676470577716827,0.763005793094635
102_0_47.npy_,62,65474,0.0946044921875,99.9053955078125,0,,,2,1,0.568807363510132,0.516666650772095,0.556701004505158,0.533333361148834,0.479999989271164,0.578512370586395
102_0_48.npy_,35,65501,0.05340576171875,99.9465942382812,0,,,2,1,0.431372553110123,0.491803288459778,0.400000005960465,0.415841579437256,0.524999976158142,0.506666660308838
102_0_49.npy_,82,65454,0.1251220703125,99.8748779296875,0,,,2,1,0.533333361148834,0.564885497093201,0.575999975204468,0.586666643619537,0.512000024318695,0.589928030967712
102_0_5.npy_,0,65536,0,100,0,,,2,0,1,1,1,1,1,1
102_0_50.npy_,38,65498,0.0579833984375,99.9420166015625,0,,,2,1,0.571428596973419,0.571428596973419,0.647887349128723,0.666666686534882,0.463768124580383,0.550724625587463
102_0_51.npy_,6,65530,0.0091552734375,99.9908447265625,0,,,2,1,0.375,0.5,0.5,0.315789461135864,0.5,0.333333343267441
102_0_52.npy_,12,65524,0.018310546875,99.981689453125,0,,,2,1,0.5,0.588235318660736,0.588235318660736,0.75,0.636363625526428,0.800000011920929
102_0_53.npy_,6,65530,0.0091552734375,99.9908447265625,0,,,2,1,0.28571429848671,1.66666669354498E-09,0.28571429848671,0.28571429848671,0.28571429848671,1.66666669354498E-09
102_0_54.npy_,10,65526,0.0152587890625,99.9847412109375,0,,,2,1,0.625,0.823529422283173,0.777777791023254,0.899999976158142,0.615384638309479,0.777777791023254
